ContentChannelName,ItemTitle,ItemContent,ItemStart,ItemExpire,ItemId,ItemParentId
Neighborhoods Series,James,A study through the Book of James.,2012-08-01 06:00:00,2012-12-01 06:00:00,topic_8,
Neighborhoods Series,BLESS Your Neighbors,"Whether covering your neighbors in prayer, sharing a meal with them, or seeking to learn more about their lives, when you ask God to open doors to BLESS your neighbors He will do it.",2013-02-19 08:00:00,2013-02-19 14:00:00,topic_15,
Neighborhoods Series,NNN Special Report: BLESS,Neighborhood Network News investigates reports of people BLESSing their neighbors.,2014-03-02 13:00:00,2014-03-30 13:00:00,topic_50,
Neighborhoods Series,Journey Into Neighborhood,Introduction of the Neighborhood Initiative at Oak Hills Church,2011-02-06 13:00:00,2011-03-13 13:00:00,topic_51,
Neighborhoods Series,Neighborhood Starter Kit,,2012-02-05 13:00:00,2012-03-11 13:00:00,topic_52,
Neighborhoods Series,Foundational Team Captain Training,,2015-09-01 12:00:00,2015-09-01 15:00:00,topic_70,
